epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.8109,0.25811,0.9075,1,0.19549,0.06766,0.000326667,0.000326667
2,49.4138,0.11306,0.9725,1,0.08007,0.0346452,0.00064515,0.00064515
3,73.0593,0.10653,0.98,1,0.06559,0.0016153,0.000948633,0.000948633
4,98.0347,0.10542,0.9625,1,0.08661,0.0009325,0.0009325,0.0009325
5,120.989,0.10185,0.96875,1,0.07637,0.00091,0.00091,0.00091
6,145.022,0.09898,0.98,1,0.06283,0.0008875,0.0008875,0.0008875
7,174.539,0.095,0.97875,1,0.06667,0.000865,0.000865,0.000865
8,197.301,0.06745,0.98,1,0.07469,0.0008425,0.0008425,0.0008425
9,219.942,0.06102,0.97875,1,0.05873,0.00082,0.00082,0.00082
10,245.955,0.04977,0.98375,1,0.04377,0.0007975,0.0007975,0.0007975
11,271.982,0.04066,0.98375,1,0.04367,0.000775,0.000775,0.000775
12,294.587,0.06496,0.97625,1,0.06263,0.0007525,0.0007525,0.0007525
13,319.79,0.04261,0.98,1,0.05702,0.00073,0.00073,0.00073
14,341.987,0.05488,0.9775,1,0.07552,0.0007075,0.0007075,0.0007075
15,369.511,0.05187,0.9775,1,0.06321,0.000685,0.000685,0.000685
16,391.141,0.04386,0.97625,1,0.06014,0.0006625,0.0006625,0.0006625
17,414.304,0.03947,0.96625,1,0.09952,0.00064,0.00064,0.00064
18,437.363,0.03717,0.985,1,0.0387,0.0006175,0.0006175,0.0006175
19,465.519,0.03365,0.98625,1,0.04796,0.000595,0.000595,0.000595
20,491.203,0.04713,0.985,1,0.05117,0.0005725,0.0005725,0.0005725
21,511.672,0.02683,0.98625,1,0.06396,0.00055,0.00055,0.00055
22,535.674,0.02045,0.98125,1,0.10614,0.0005275,0.0005275,0.0005275
23,563.275,0.02549,0.98125,1,0.05627,0.000505,0.000505,0.000505
24,586.802,0.02536,0.985,1,0.05654,0.0004825,0.0004825,0.0004825
25,612.148,0.03005,0.98625,1,0.04786,0.00046,0.00046,0.00046
26,637.528,0.03183,0.98875,1,0.05214,0.0004375,0.0004375,0.0004375
27,665.923,0.02325,0.98625,1,0.0355,0.000415,0.000415,0.000415
28,689.884,0.02764,0.98625,1,0.0358,0.0003925,0.0003925,0.0003925
29,715.271,0.02558,0.98375,1,0.0375,0.00037,0.00037,0.00037
30,736.972,0.02077,0.98625,1,0.05719,0.0003475,0.0003475,0.0003475
31,764.564,0.02051,0.9825,1,0.04321,0.000325,0.000325,0.000325
32,788.936,0.02429,0.98875,1,0.03393,0.0003025,0.0003025,0.0003025
33,811.846,0.02104,0.98875,1,0.04218,0.00028,0.00028,0.00028
34,833.286,0.01617,0.985,1,0.03779,0.0002575,0.0002575,0.0002575
35,857.76,0.01763,0.98875,1,0.04063,0.000235,0.000235,0.000235
36,882.526,0.01435,0.9875,1,0.06113,0.0002125,0.0002125,0.0002125
