epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.1515,0.29049,0.92375,1,0.18214,0.06766,0.000326667,0.000326667
2,49.1979,0.15103,0.965,1,0.09138,0.0346303,0.0006303,0.0006303
3,73.5025,0.12357,0.97625,1,0.06097,0.0015706,0.000903933,0.000903933
4,98.673,0.11276,0.975,1,0.0773,0.000865,0.000865,0.000865
5,123.25,0.09963,0.975,1,0.06654,0.00082,0.00082,0.00082
6,147.78,0.09384,0.96375,1,0.09763,0.000775,0.000775,0.000775
7,178.13,0.09068,0.97875,1,0.07673,0.00073,0.00073,0.00073
8,201.307,0.06728,0.98125,1,0.04367,0.000685,0.000685,0.000685
9,223.081,0.04914,0.9775,1,0.0775,0.00064,0.00064,0.00064
10,248.936,0.06119,0.97,1,0.07107,0.000595,0.000595,0.000595
11,276.811,0.05248,0.98375,1,0.04628,0.00055,0.00055,0.00055
12,299.15,0.04436,0.985,1,0.04438,0.000505,0.000505,0.000505
13,321.973,0.04745,0.97875,1,0.07638,0.00046,0.00046,0.00046
14,345.985,0.04607,0.98625,1,0.07542,0.000415,0.000415,0.000415
15,372.466,0.04461,0.98125,1,0.06235,0.00037,0.00037,0.00037
16,394.658,0.04042,0.9775,1,0.05128,0.000325,0.000325,0.000325
17,415.507,0.04367,0.985,1,0.05085,0.00028,0.00028,0.00028
18,435.072,0.038,0.98375,1,0.04605,0.000235,0.000235,0.000235
19,457.44,0.04218,0.98125,1,0.0466,0.00019,0.00019,0.00019
20,477.409,0.02421,0.98,1,0.06003,0.000145,0.000145,0.000145
