epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.035,0.28027,0.9675,1,0.08318,0.06766,0.000326667,0.000326667
2,50.8918,0.11489,0.93875,1,0.14077,0.0346303,0.0006303,0.0006303
3,74.8037,0.11308,0.9525,1,0.13168,0.0015706,0.000903933,0.000903933
4,99.3915,0.0929,0.97875,1,0.06538,0.000865,0.000865,0.000865
5,121.88,0.08287,0.96875,1,0.09781,0.00082,0.00082,0.00082
6,147.826,0.08582,0.97875,1,0.06409,0.000775,0.000775,0.000775
7,169.346,0.0818,0.97625,1,0.04821,0.00073,0.00073,0.00073
8,189.806,0.06609,0.9825,1,0.07295,0.000685,0.000685,0.000685
9,211.851,0.05101,0.98125,1,0.04805,0.00064,0.00064,0.00064
10,236.158,0.04238,0.98625,1,0.04852,0.000595,0.000595,0.000595
11,265.455,0.04342,0.98,1,0.05341,0.00055,0.00055,0.00055
12,287.809,0.0252,0.98125,1,0.05346,0.000505,0.000505,0.000505
13,310.411,0.03682,0.98,1,0.051,0.00046,0.00046,0.00046
14,334.007,0.05542,0.98875,1,0.04189,0.000415,0.000415,0.000415
15,360.804,0.03384,0.99,1,0.02961,0.00037,0.00037,0.00037
16,385.336,0.03447,0.98875,1,0.02776,0.000325,0.000325,0.000325
17,409.534,0.02795,0.98625,1,0.0365,0.00028,0.00028,0.00028
18,431.383,0.02868,0.98625,1,0.03826,0.000235,0.000235,0.000235
19,454.132,0.03385,0.98375,1,0.06106,0.00019,0.00019,0.00019
20,477.9,0.01627,0.98625,1,0.04929,0.000145,0.000145,0.000145
