epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.5072,0.24749,0.98,1,0.05122,0.06766,0.000326667,0.000326667
2,53.1847,0.09887,0.97375,1,0.08748,0.0346303,0.0006303,0.0006303
3,78.8041,0.11531,0.97125,1,0.07769,0.0015706,0.000903933,0.000903933
4,105.094,0.09901,0.98125,1,0.05458,0.000865,0.000865,0.000865
5,126.275,0.09848,0.97625,1,0.07556,0.00082,0.00082,0.00082
6,151.715,0.08198,0.98625,1,0.07268,0.000775,0.000775,0.000775
7,174.53,0.07301,0.96875,1,0.07325,0.00073,0.00073,0.00073
8,198.508,0.05389,0.9775,1,0.09422,0.000685,0.000685,0.000685
9,221.626,0.05952,0.98125,1,0.04387,0.00064,0.00064,0.00064
10,245.092,0.03649,0.9875,1,0.04333,0.000595,0.000595,0.000595
11,276.115,0.04461,0.98,1,0.04272,0.00055,0.00055,0.00055
12,301.025,0.02247,0.98375,1,0.05359,0.000505,0.000505,0.000505
13,325.688,0.03836,0.97375,1,0.07116,0.00046,0.00046,0.00046
14,351.51,0.03527,0.9825,1,0.03688,0.000415,0.000415,0.000415
15,376.837,0.03906,0.985,1,0.0491,0.00037,0.00037,0.00037
16,398.503,0.02828,0.99,1,0.02518,0.000325,0.000325,0.000325
17,419.969,0.02691,0.98625,1,0.04372,0.00028,0.00028,0.00028
18,447.093,0.02664,0.985,1,0.03685,0.000235,0.000235,0.000235
19,474.322,0.02447,0.98625,1,0.03288,0.00019,0.00019,0.00019
20,497.221,0.01264,0.985,1,0.0475,0.000145,0.000145,0.000145
