sample,file_path,issue
cl2505vo38tcb10asd2vl4qjd,/home/shared-data/AnnotierteBilder/cl2505vo38tcb10asd2vl4qjd/damaged_metal.png,MissingFile
cl253smi70a3b0zau4hjd1l9r,/home/shared-data/AnnotierteBilder/cl253smi70a3b0zau4hjd1l9r/damaged_metal.png,MissingFile
cl2alp9qn0aub0z7rczpo9wib,/home/shared-data/AnnotierteBilder/cl2alp9qn0aub0z7rczpo9wib/damaged_metal.png,MissingFile
cl2kpmq8l04360z9824pe9jrf,/home/shared-data/AnnotierteBilder/cl2kpmq8l04360z9824pe9jrf/damaged_metal.png,MissingFile
cl2m04307b25v0zba41z2120f,/home/shared-data/AnnotierteBilder/cl2m04307b25v0zba41z2120f/damaged_metal.png,MissingFile
cl2m1xvxdbnxq0z9mgfuch70m,/home/shared-data/AnnotierteBilder/cl2m1xvxdbnxq0z9mgfuch70m/damaged_metal.png,MissingFile
cl2w5eupityka077l7tdm3k1v,/home/shared-data/AnnotierteBilder/cl2w5eupityka077l7tdm3k1v/damaged_metal.png,MissingFile
cl2w79sgift4w07aegs8o6bkx,/home/shared-data/AnnotierteBilder/cl2w79sgift4w07aegs8o6bkx/damaged_metal.png,MissingFile
cl2w8v5ixr4f507bq1ktmdglo,/home/shared-data/AnnotierteBilder/cl2w8v5ixr4f507bq1ktmdglo/damaged_metal.png,MissingFile
cl2x77n5rfjrf0774g7zk4p9r,/home/shared-data/AnnotierteBilder/cl2x77n5rfjrf0774g7zk4p9r/damaged_metal.png,MissingFile
cl2x7is28fjxw0774f81b4tik,/home/shared-data/AnnotierteBilder/cl2x7is28fjxw0774f81b4tik/damaged_metal.png,MissingFile
cl2x9udkvkadf07cegzyb4n4d,/home/shared-data/AnnotierteBilder/cl2x9udkvkadf07cegzyb4n4d/damaged_metal.png,MissingFile
cl3wr5rw00s1107844xpictws,/home/shared-data/AnnotierteBilder/cl3wr5rw00s1107844xpictws/damaged_metal.png,MissingFile
cl3wrap2h2pvc087mfkkth44c,/home/shared-data/AnnotierteBilder/cl3wrap2h2pvc087mfkkth44c/damaged_metal.png,MissingFile
cl3wrayp82lqu0791a43h4uny,/home/shared-data/AnnotierteBilder/cl3wrayp82lqu0791a43h4uny/damaged_metal.png,MissingFile
cl479x0fn0qak088xe4flcczc,/home/shared-data/AnnotierteBilder/cl479x0fn0qak088xe4flcczc/damaged_metal.png,MissingFile
cl4hjlr313g38074r5d8t1db3,/home/shared-data/AnnotierteBilder/cl4hjlr313g38074r5d8t1db3/damaged_metal.png,UnreadableImage
cl4pfk3fg00jb084xhba44ym5,/home/shared-data/AnnotierteBilder/cl4pfk3fg00jb084xhba44ym5/damaged_metal.png,MissingFile
cl4rbjwb803vw07b3bymu2ucj,/home/shared-data/AnnotierteBilder/cl4rbjwb803vw07b3bymu2ucj/damaged_metal.png,MissingFile
cl722964l41x3083e4k4kbc1y,/home/shared-data/AnnotierteBilder/cl722964l41x3083e4k4kbc1y/damaged_metal.png,MissingFile
cl72pu9x5c16u08286cbc6z71,/home/shared-data/AnnotierteBilder/cl72pu9x5c16u08286cbc6z71/damaged_metal.png,MissingFile
cl7f7y1kw1k210757fwqcejo3,/home/shared-data/AnnotierteBilder/cl7f7y1kw1k210757fwqcejo3/damaged_metal.png,UnreadableImage
