sample,rgb,dmg,und,bkg,rgb_ok,dmg_ok,und_ok,bkg_ok,size_match
cl253smi70a3b0zau4hjd1l9r,/home/shared-data/AnnotierteBilder/cl253smi70a3b0zau4hjd1l9r/cl253smi70a3b0zau4hjd1l9r.jpg,,,,True,False,False,False,False
cl2x7is28fjxw0774f81b4tik,/home/shared-data/AnnotierteBilder/cl2x7is28fjxw0774f81b4tik/cl2x7is28fjxw0774f81b4tik.jpg,,,,True,False,False,False,False
cl72pu9x5c16u08286cbc6z71,/home/shared-data/AnnotierteBilder/cl72pu9x5c16u08286cbc6z71/cl72pu9x5c16u08286cbc6z71.jpg,,,,True,False,False,False,False
cl3wrayp82lqu0791a43h4uny,/home/shared-data/AnnotierteBilder/cl3wrayp82lqu0791a43h4uny/cl3wrayp82lqu0791a43h4uny.jpg,,,,True,False,False,False,False
cl3wrap2h2pvc087mfkkth44c,/home/shared-data/AnnotierteBilder/cl3wrap2h2pvc087mfkkth44c/cl3wrap2h2pvc087mfkkth44c.jpg,,,,True,False,False,False,False
cl2alp9qn0aub0z7rczpo9wib,/home/shared-data/AnnotierteBilder/cl2alp9qn0aub0z7rczpo9wib/cl2alp9qn0aub0z7rczpo9wib.jpg,,,,True,False,False,False,False
cl3wr5rw00s1107844xpictws,/home/shared-data/AnnotierteBilder/cl3wr5rw00s1107844xpictws/cl3wr5rw00s1107844xpictws.jpg,,,,True,False,False,False,False
cl4pfk3fg00jb084xhba44ym5,/home/shared-data/AnnotierteBilder/cl4pfk3fg00jb084xhba44ym5/cl4pfk3fg00jb084xhba44ym5.jpg,,,,True,False,False,False,False
cl2w8v5ixr4f507bq1ktmdglo,/home/shared-data/AnnotierteBilder/cl2w8v5ixr4f507bq1ktmdglo/cl2w8v5ixr4f507bq1ktmdglo.jpg,,,,True,False,False,False,False
cl2w79sgift4w07aegs8o6bkx,/home/shared-data/AnnotierteBilder/cl2w79sgift4w07aegs8o6bkx/cl2w79sgift4w07aegs8o6bkx.jpg,,,,True,False,False,False,False
cl2w5eupityka077l7tdm3k1v,/home/shared-data/AnnotierteBilder/cl2w5eupityka077l7tdm3k1v/cl2w5eupityka077l7tdm3k1v.jpg,,,,True,False,False,False,False
cl2505vo38tcb10asd2vl4qjd,/home/shared-data/AnnotierteBilder/cl2505vo38tcb10asd2vl4qjd/cl2505vo38tcb10asd2vl4qjd.jpg,,,,True,False,False,False,False
cl722964l41x3083e4k4kbc1y,/home/shared-data/AnnotierteBilder/cl722964l41x3083e4k4kbc1y/cl722964l41x3083e4k4kbc1y.jpg,,,,True,False,False,False,False
cl2m04307b25v0zba41z2120f,/home/shared-data/AnnotierteBilder/cl2m04307b25v0zba41z2120f/cl2m04307b25v0zba41z2120f.jpg,,,,True,False,False,False,False
cl2m1xvxdbnxq0z9mgfuch70m,/home/shared-data/AnnotierteBilder/cl2m1xvxdbnxq0z9mgfuch70m/cl2m1xvxdbnxq0z9mgfuch70m.jpg,,,,True,False,False,False,False
cl4hjlr313g38074r5d8t1db3,/home/shared-data/AnnotierteBilder/cl4hjlr313g38074r5d8t1db3/cl4hjlr313g38074r5d8t1db3.jpg,/home/shared-data/AnnotierteBilder/cl4hjlr313g38074r5d8t1db3/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl4hjlr313g38074r5d8t1db3/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl4hjlr313g38074r5d8t1db3/background.png,True,False,False,False,False
cl2kpmq8l04360z9824pe9jrf,/home/shared-data/AnnotierteBilder/cl2kpmq8l04360z9824pe9jrf/cl2kpmq8l04360z9824pe9jrf.jpg,,,,True,False,False,False,False
cl2x9udkvkadf07cegzyb4n4d,/home/shared-data/AnnotierteBilder/cl2x9udkvkadf07cegzyb4n4d/cl2x9udkvkadf07cegzyb4n4d.jpg,,,,True,False,False,False,False
cl2x77n5rfjrf0774g7zk4p9r,/home/shared-data/AnnotierteBilder/cl2x77n5rfjrf0774g7zk4p9r/cl2x77n5rfjrf0774g7zk4p9r.jpg,,,,True,False,False,False,False
cl4rbjwb803vw07b3bymu2ucj,/home/shared-data/AnnotierteBilder/cl4rbjwb803vw07b3bymu2ucj/cl4rbjwb803vw07b3bymu2ucj.jpg,,,,True,False,False,False,False
cl479x0fn0qak088xe4flcczc,/home/shared-data/AnnotierteBilder/cl479x0fn0qak088xe4flcczc/cl479x0fn0qak088xe4flcczc.jpg,,,,True,False,False,False,False
