sample,rgb,dmg,und,bkg,rgb_ok,dmg_ok,und_ok,bkg_ok,size_match
cl6dxtgz90yvi07vhdkxc1ijp,/home/shared-data/AnnotierteBilder/cl6dxtgz90yvi07vhdkxc1ijp/cl6dxtgz90yvi07vhdkxc1ijp.jpg,/home/shared-data/AnnotierteBilder/cl6dxtgz90yvi07vhdkxc1ijp/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl6dxtgz90yvi07vhdkxc1ijp/undamaged_metal.png,,True,True,True,False,True
cl41j7i3r5wv9072t7yns4noy,/home/shared-data/AnnotierteBilder/cl41j7i3r5wv9072t7yns4noy/cl41j7i3r5wv9072t7yns4noy.jpg,/home/shared-data/AnnotierteBilder/cl41j7i3r5wv9072t7yns4noy/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl41j7i3r5wv9072t7yns4noy/undamaged_metal.png,,True,True,True,False,True
cl7f9p5pf1wlb074chm702ykl,/home/shared-data/AnnotierteBilder/cl7f9p5pf1wlb074chm702ykl/cl7f9p5pf1wlb074chm702ykl.jpg,/home/shared-data/AnnotierteBilder/cl7f9p5pf1wlb074chm702ykl/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl7f9p5pf1wlb074chm702ykl/undamaged_metal.png,,True,True,True,False,True
cl3rmj09osmtn0786fg96clln,/home/shared-data/AnnotierteBilder/cl3rmj09osmtn0786fg96clln/cl3rmj09osmtn0786fg96clln.jpg,/home/shared-data/AnnotierteBilder/cl3rmj09osmtn0786fg96clln/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl3rmj09osmtn0786fg96clln/undamaged_metal.png,,True,True,True,False,True
cl42s1hfq04e7072kahik7tb7,/home/shared-data/AnnotierteBilder/cl42s1hfq04e7072kahik7tb7/cl42s1hfq04e7072kahik7tb7.jpg,/home/shared-data/AnnotierteBilder/cl42s1hfq04e7072kahik7tb7/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl42s1hfq04e7072kahik7tb7/undamaged_metal.png,,True,True,True,False,True
cl6bldy04h7xk071f2r2k6h9s,/home/shared-data/AnnotierteBilder/cl6bldy04h7xk071f2r2k6h9s/cl6bldy04h7xk071f2r2k6h9s.jpg,/home/shared-data/AnnotierteBilder/cl6bldy04h7xk071f2r2k6h9s/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl6bldy04h7xk071f2r2k6h9s/undamaged_metal.png,,True,True,True,False,True
cl7fa4nqs00x807y0314dbq6g,/home/shared-data/AnnotierteBilder/cl7fa4nqs00x807y0314dbq6g/cl7fa4nqs00x807y0314dbq6g.jpg,/home/shared-data/AnnotierteBilder/cl7fa4nqs00x807y0314dbq6g/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl7fa4nqs00x807y0314dbq6g/undamaged_metal.png,,True,True,True,False,True
cl769t4v10cnv07y6cuxq3c43,/home/shared-data/AnnotierteBilder/cl769t4v10cnv07y6cuxq3c43/cl769t4v10cnv07y6cuxq3c43.jpg,/home/shared-data/AnnotierteBilder/cl769t4v10cnv07y6cuxq3c43/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl769t4v10cnv07y6cuxq3c43/undamaged_metal.png,,True,True,True,False,True
cl2krungz08e00z9210tuctqn,/home/shared-data/AnnotierteBilder/cl2krungz08e00z9210tuctqn/cl2krungz08e00z9210tuctqn.jpg,/home/shared-data/AnnotierteBilder/cl2krungz08e00z9210tuctqn/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl2krungz08e00z9210tuctqn/undamaged_metal.png,,True,True,True,False,True
cl5a5w36p0k7c0816djn7hs2i,/home/shared-data/AnnotierteBilder/cl5a5w36p0k7c0816djn7hs2i/cl5a5w36p0k7c0816djn7hs2i.jpg,/home/shared-data/AnnotierteBilder/cl5a5w36p0k7c0816djn7hs2i/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl5a5w36p0k7c0816djn7hs2i/undamaged_metal.png,,True,True,True,False,True
cl3rol3liypxm078f3j1edmhz,/home/shared-data/AnnotierteBilder/cl3rol3liypxm078f3j1edmhz/cl3rol3liypxm078f3j1edmhz.jpg,/home/shared-data/AnnotierteBilder/cl3rol3liypxm078f3j1edmhz/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl3rol3liypxm078f3j1edmhz/undamaged_metal.png,,True,True,True,False,True
cl253smz70a3f0zau7oit982o,/home/shared-data/AnnotierteBilder/cl253smz70a3f0zau7oit982o/cl253smz70a3f0zau7oit982o.jpg,/home/shared-data/AnnotierteBilder/cl253smz70a3f0zau7oit982o/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl253smz70a3f0zau7oit982o/undamaged_metal.png,,True,True,True,False,True
cl3ws33fc2oc8079r4hh03f0g,/home/shared-data/AnnotierteBilder/cl3ws33fc2oc8079r4hh03f0g/cl3ws33fc2oc8079r4hh03f0g.jpg,/home/shared-data/AnnotierteBilder/cl3ws33fc2oc8079r4hh03f0g/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl3ws33fc2oc8079r4hh03f0g/undamaged_metal.png,,True,True,True,False,True
cl7cffoy3c5a008y9huic11zu,/home/shared-data/AnnotierteBilder/cl7cffoy3c5a008y9huic11zu/cl7cffoy3c5a008y9huic11zu.jpg,/home/shared-data/AnnotierteBilder/cl7cffoy3c5a008y9huic11zu/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl7cffoy3c5a008y9huic11zu/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl7cffoy3c5a008y9huic11zu/background.png,True,True,True,False,True
cl3rm8dy0zkji074d8saygz2b,/home/shared-data/AnnotierteBilder/cl3rm8dy0zkji074d8saygz2b/cl3rm8dy0zkji074d8saygz2b.jpg,/home/shared-data/AnnotierteBilder/cl3rm8dy0zkji074d8saygz2b/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl3rm8dy0zkji074d8saygz2b/undamaged_metal.png,,True,True,True,False,True
cl7f7l6iq1klt073ucerl4um4,/home/shared-data/AnnotierteBilder/cl7f7l6iq1klt073ucerl4um4/cl7f7l6iq1klt073ucerl4um4.jpg,/home/shared-data/AnnotierteBilder/cl7f7l6iq1klt073ucerl4um4/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl7f7l6iq1klt073ucerl4um4/undamaged_metal.png,,True,True,True,False,True
cl4pfcryggihq078u9poq6o0x,/home/shared-data/AnnotierteBilder/cl4pfcryggihq078u9poq6o0x/cl4pfcryggihq078u9poq6o0x.jpg,/home/shared-data/AnnotierteBilder/cl4pfcryggihq078u9poq6o0x/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl4pfcryggihq078u9poq6o0x/undamaged_metal.png,,True,True,True,False,True
