sample,rgb,dmg,und,bkg,rgb_ok,dmg_ok,und_ok,bkg_ok,size_match
cl5a3b0l3005j080sgqk67zfm,/home/shared-data/AnnotierteBilder/cl5a3b0l3005j080sgqk67zfm/cl5a3b0l3005j080sgqk67zfm.jpg,/home/shared-data/AnnotierteBilder/cl5a3b0l3005j080sgqk67zfm/damaged_metal.png,,/home/shared-data/AnnotierteBilder/cl5a3b0l3005j080sgqk67zfm/background.png,True,True,False,True,True
cl4vzjfcd0gby07zsei2kg20l,/home/shared-data/AnnotierteBilder/cl4vzjfcd0gby07zsei2kg20l/cl4vzjfcd0gby07zsei2kg20l.jpg,/home/shared-data/AnnotierteBilder/cl4vzjfcd0gby07zsei2kg20l/damaged_metal.png,,/home/shared-data/AnnotierteBilder/cl4vzjfcd0gby07zsei2kg20l/background.png,True,True,False,True,True
cl41irhpp79a5075gcx1wau4c,/home/shared-data/AnnotierteBilder/cl41irhpp79a5075gcx1wau4c/cl41irhpp79a5075gcx1wau4c.jpg,/home/shared-data/AnnotierteBilder/cl41irhpp79a5075gcx1wau4c/damaged_metal.png,,/home/shared-data/AnnotierteBilder/cl41irhpp79a5075gcx1wau4c/background.png,True,True,False,True,True
cl42zv91t041h075bdjr50kyr,/home/shared-data/AnnotierteBilder/cl42zv91t041h075bdjr50kyr/cl42zv91t041h075bdjr50kyr.jpg,/home/shared-data/AnnotierteBilder/cl42zv91t041h075bdjr50kyr/damaged_metal.png,,/home/shared-data/AnnotierteBilder/cl42zv91t041h075bdjr50kyr/background.png,True,True,False,True,True
cl479heet0nvi088x9rw00l3c,/home/shared-data/AnnotierteBilder/cl479heet0nvi088x9rw00l3c/cl479heet0nvi088x9rw00l3c.jpg,/home/shared-data/AnnotierteBilder/cl479heet0nvi088x9rw00l3c/damaged_metal.png,,/home/shared-data/AnnotierteBilder/cl479heet0nvi088x9rw00l3c/background.png,True,True,False,True,True
cl7dm2bazmf6807zwaf658ax1,/home/shared-data/AnnotierteBilder/cl7dm2bazmf6807zwaf658ax1/cl7dm2bazmf6807zwaf658ax1.jpg,/home/shared-data/AnnotierteBilder/cl7dm2bazmf6807zwaf658ax1/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl7dm2bazmf6807zwaf658ax1/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl7dm2bazmf6807zwaf658ax1/background.png,True,True,False,True,True
cl4bdg9d1hgc10798hap44m3u,/home/shared-data/AnnotierteBilder/cl4bdg9d1hgc10798hap44m3u/cl4bdg9d1hgc10798hap44m3u.jpg,/home/shared-data/AnnotierteBilder/cl4bdg9d1hgc10798hap44m3u/damaged_metal.png,,/home/shared-data/AnnotierteBilder/cl4bdg9d1hgc10798hap44m3u/background.png,True,True,False,True,True
cl7f8sqmi1n4c07571t3jext5,/home/shared-data/AnnotierteBilder/cl7f8sqmi1n4c07571t3jext5/cl7f8sqmi1n4c07571t3jext5.jpg,/home/shared-data/AnnotierteBilder/cl7f8sqmi1n4c07571t3jext5/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl7f8sqmi1n4c07571t3jext5/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl7f8sqmi1n4c07571t3jext5/background.png,True,True,False,True,True
cl4hkb41s31g3078c7p9phmts,/home/shared-data/AnnotierteBilder/cl4hkb41s31g3078c7p9phmts/cl4hkb41s31g3078c7p9phmts.jpg,/home/shared-data/AnnotierteBilder/cl4hkb41s31g3078c7p9phmts/damaged_metal.png,,/home/shared-data/AnnotierteBilder/cl4hkb41s31g3078c7p9phmts/background.png,True,True,False,True,True
cl4raxhtn0aib07bf9bfqdi3z,/home/shared-data/AnnotierteBilder/cl4raxhtn0aib07bf9bfqdi3z/cl4raxhtn0aib07bf9bfqdi3z.jpg,/home/shared-data/AnnotierteBilder/cl4raxhtn0aib07bf9bfqdi3z/damaged_metal.png,,/home/shared-data/AnnotierteBilder/cl4raxhtn0aib07bf9bfqdi3z/background.png,True,True,False,True,True
