sample,rgb,dmg,und,bkg,rgb_ok,dmg_ok,und_ok,bkg_ok,size_match
cl1uw4ssi09vy0z4s7hpd3tjt,/home/shared-data/AnnotierteBilder/cl1uw4ssi09vy0z4s7hpd3tjt/cl1uw4ssi09vy0z4s7hpd3tjt.jpg,/home/shared-data/AnnotierteBilder/cl1uw4ssi09vy0z4s7hpd3tjt/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl1uw4ssi09vy0z4s7hpd3tjt/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl1uw4ssi09vy0z4s7hpd3tjt/background.png,True,True,True,True,True
cl7dnbgywlvnd07wj1tutgmz6,/home/shared-data/AnnotierteBilder/cl7dnbgywlvnd07wj1tutgmz6/cl7dnbgywlvnd07wj1tutgmz6.jpg,/home/shared-data/AnnotierteBilder/cl7dnbgywlvnd07wj1tutgmz6/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl7dnbgywlvnd07wj1tutgmz6/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl7dnbgywlvnd07wj1tutgmz6/background.png,True,True,True,True,True
cl253smi70a3b0zau4hjd1l9r,/home/shared-data/AnnotierteBilder/cl253smi70a3b0zau4hjd1l9r/cl253smi70a3b0zau4hjd1l9r.jpg,,,,True,,,,
cl62wjzsq4j550712dzppceod,/home/shared-data/AnnotierteBilder/cl62wjzsq4j550712dzppceod/cl62wjzsq4j550712dzppceod.jpg,/home/shared-data/AnnotierteBilder/cl62wjzsq4j550712dzppceod/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl62wjzsq4j550712dzppceod/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl62wjzsq4j550712dzppceod/background.png,True,True,True,True,True
cl5zoki1wmxsk08ysc0i3gqlt,/home/shared-data/AnnotierteBilder/cl5zoki1wmxsk08ysc0i3gqlt/cl5zoki1wmxsk08ysc0i3gqlt.jpg,/home/shared-data/AnnotierteBilder/cl5zoki1wmxsk08ysc0i3gqlt/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl5zoki1wmxsk08ysc0i3gqlt/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl5zoki1wmxsk08ysc0i3gqlt/background.png,True,True,True,True,True
cl3womfut2iwc076qfo66frap,/home/shared-data/AnnotierteBilder/cl3womfut2iwc076qfo66frap/cl3womfut2iwc076qfo66frap.jpg,/home/shared-data/AnnotierteBilder/cl3womfut2iwc076qfo66frap/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl3womfut2iwc076qfo66frap/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl3womfut2iwc076qfo66frap/background.png,True,True,True,True,True
cl2ano73j0pwm108t0uznfx9c,/home/shared-data/AnnotierteBilder/cl2ano73j0pwm108t0uznfx9c/cl2ano73j0pwm108t0uznfx9c.jpg,/home/shared-data/AnnotierteBilder/cl2ano73j0pwm108t0uznfx9c/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl2ano73j0pwm108t0uznfx9c/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl2ano73j0pwm108t0uznfx9c/background.png,True,True,True,True,True
cl4hldvvb362p087bb9trff5u,/home/shared-data/AnnotierteBilder/cl4hldvvb362p087bb9trff5u/cl4hldvvb362p087bb9trff5u.jpg,/home/shared-data/AnnotierteBilder/cl4hldvvb362p087bb9trff5u/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl4hldvvb362p087bb9trff5u/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl4hldvvb362p087bb9trff5u/background.png,True,True,True,True,True
cl4hip3ui3coc074r2097gfto,/home/shared-data/AnnotierteBilder/cl4hip3ui3coc074r2097gfto/cl4hip3ui3coc074r2097gfto.jpg,/home/shared-data/AnnotierteBilder/cl4hip3ui3coc074r2097gfto/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl4hip3ui3coc074r2097gfto/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl4hip3ui3coc074r2097gfto/background.png,True,True,True,True,True
cl670tqx30h79071key6z7q9l,/home/shared-data/AnnotierteBilder/cl670tqx30h79071key6z7q9l/cl670tqx30h79071key6z7q9l.jpg,/home/shared-data/AnnotierteBilder/cl670tqx30h79071key6z7q9l/damaged_metal.png,/home/shared-data/AnnotierteBilder/cl670tqx30h79071key6z7q9l/undamaged_metal.png,/home/shared-data/AnnotierteBilder/cl670tqx30h79071key6z7q9l/background.png,True,True,True,True,True
